Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
BA;2923605;Paramirim;37,61;26,97;20,02;17,4;
BA;2923704;Paratinga;47,91;30,32;24,28;18,68;
BA;2923803;Paripiranga;48,89;37,21;28,07;22,9;
BA;2923902;Pau Brasil;52,97;36,19;28,19;17,83;
BA;2924009;Paulo Afonso;29,48;22,68;16,69;12,38;
BA;2924058;Pé de Serra;40,1;29,82;24,36;20,12;
BA;2924108;Pedrão;37,95;25,95;21,88;15,26;
BA;2924207;Pedro Alexandre;77,18;49,1;40,96;31,9;
BA;2924306;Piatã;42,92;30,56;23,74;16,4;
BA;2924405;Pilão Arcado;57,73;40,24;30,09;25,08;
BA;2924504;Pindaí;46,55;30,52;23,8;19,32;
BA;2924603;Pindobaçu;50,68;31,55;24,68;17,52;
BA;2924652;Pintadas;50,52;32,24;24,03;19,74;
BA;2924678;Piraí do Norte;63,13;35,61;26,18;18,51;
BA;2924702;Piripá;50,13;35,88;25,41;22,22;
BA;2924801;Piritiba;42,3;28,54;21,63;16,62;
BA;2924900;Planaltino;59,18;44;32,24;26,19;
BA;2925006;Planalto;54,27;39,25;29,46;22,08;
BA;2925105;Poções;48,73;35,39;26,93;19,09;
BA;2925204;Pojuca;24,33;16,46;9,32;8,69;
BA;2925253;Ponto Novo;54,26;34,35;25,44;19,25;
BA;2925303;Porto Seguro;34,89;18,54;11,98;8,47;
BA;2925402;Potiraguá;47;35,42;22,35;14,64;
BA;2925501;Prado;47,21;28,73;19,9;13,79;
BA;2925600;Presidente Dutra;32,05;22,1;15,42;13,68;
BA;2925709;Presidente Jânio Quadros;55,61;43,45;34,02;25,05;
BA;2925758;Presidente Tancredo Neves;60,39;38,99;29,15;19,58;
BA;2925808;Queimadas;47,53;30,26;23,61;17,86;
BA;2925907;Quijingue;67,09;44,55;34,47;28,78;
BA;2925931;Quixabeira;53,23;35,55;30,83;18,03;
BA;2925956;Rafael Jambeiro;52,86;39,26;29,78;23,83;
BA;2926004;Remanso;49,11;33,16;27,45;20,45;
BA;2926103;Retirolândia;37,6;27,18;19,21;13,64;
BA;2926202;Riachão das Neves;48,58;38,4;30,16;22,03;
BA;2926301;Riachão do Jacuípe;34,75;23,91;17,98;14,9;
BA;2926400;Riacho de Santana;49,68;32,33;27,54;21,48;
BA;2926509;Ribeira do Amparo;68,95;46,16;35,59;30,73;
BA;2926608;Ribeira do Pombal;48,56;32,4;26,34;18,01;
BA;2926657;Ribeirão do Largo;64,74;42,56;30,96;26,01;
BA;2926707;Rio de Contas;40,71;26,09;20,04;18,18;
BA;2926806;Rio do Antônio;49,47;34,14;28,44;24,69;
BA;2926905;Rio do Pires;42,47;32,39;27,34;17,74;
BA;2927002;Rio Real;47,26;31,31;24,43;18,71;
